publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-29T12:24:29Z,@veiniev,Setuju 😭,0
2024-10-29T08:32:58Z,@conkupik,Terimakasih ilmunya buangg,0
2024-10-29T07:57:19Z,@Silembuut21,salah banget lg puyeng nonton bginian,0
2024-10-29T07:48:16Z,@eolhcha,Gilakkk weh angga udah cakep pinter pula,6
2024-10-29T07:38:53Z,@rivarangga,Rambutnya🏄owkwowk,0
2024-10-29T07:25:00Z,@wandachamidah5032,"Angga di <a href=""https://www.youtube.com/watch?v=c6ULhl5UU0k&amp;t=160"">2:40</a> rambutnya pengen w rapiin dah, masuk mata itu wkwk",0
2024-10-29T07:14:49Z,@trisyaarini210,Jerrr habis ini sama fadhil jaidi dongggg,0
2024-10-29T07:06:19Z,@boraboo7889,relate banget sama angga yang kalau ngerjain matematika nalarnya jalan tapi teorinya gatau. jadi kalau soal di otak atik yang lebih susah di nalar jadi bingung sendiri wkwkkw,0
2024-10-29T06:59:48Z,@kemanakau9,wihhh luas juganii pemasaran film merekaaa🎉,3
2024-10-29T06:13:55Z,@MuhammadHabibi-xh5rt,Bang reaction heris skuyy sm teman jepang abg,0
2024-10-29T06:11:51Z,@monicadwipratiwi193,120% dpt darimana 😭,0
2024-10-29T05:30:25Z,@nikmatiajaa,"BANG SAYA PUNYA TEMEN CEWEK UMUR 16 THN,DIA HOBI PELAJARANNYA MATEMATIKA,TRS DIA TAMAT SMP DOANG,GAK BISA LANJUT SEKOLAH KARNA BIAYA.DI SEKALOH DIA DAPAT PERINGKAT 1,2 TRS.TRS MAU KEJAR PAKET C ,DIA BINGUNG JUGA KARNA BIAYA.DAN DIA KERJA ,BUAT KEJAR PAKET C.TERIMAKASIH.",0
2024-10-29T10:54:23Z,@LalaViola-i4f,Wow😅😊😊😊,0
2024-10-29T05:12:20Z,@rnbeefamily810,Andaikan dulu guru MTKku Kamu Jerr...😂😂 Auto nyantol diotak gak kebanyakan ngapalin rumus. Sekarang Aku pantau buat nanti ngajarin ke Anak. Wkwkkwkw,0
2024-10-29T04:42:45Z,@efftinfani7705,"Koq Angga mukanya beda gitu ya,kyk udah dewasa bgt😊",0
2024-10-29T04:26:55Z,@ekaputri5954,Bneran angga yunanda kirakn mirip aja hahhaah,0
2024-10-29T04:24:48Z,@threearq2894,Angga versi mamang2😅,0
2024-10-29T04:22:50Z,@farelesaherlambang4029,Lah ini angga yunanda??? Kok beda bet bjirrrr😮,0
2024-10-29T04:20:48Z,@Sonxzy13,Berasa lagi zoom wkwkwk,0
2024-10-29T04:07:49Z,@UlfiArisa,Angga definisi cerdas cakep santun<br>Paket lengkap favorit calon mertua ini mah<br>Join kak jerome masuk kemendikbud gih❤,37
2024-10-29T04:03:17Z,@anggitafbryn5445,Kaget sm angga yg kumisan. Dan kaget sm jerome yg💪,1
2024-10-29T03:46:06Z,@septianasindi1211,"Top 2 cowok tampan+ pintar menurut ku😍, kurang Iqbal biar top 3",2
2024-10-29T10:55:16Z,@LalaViola-i4f,Masih gantengan angga yunanda gk sih?? 🤐,0
2024-10-29T11:04:36Z,@septianasindi1211,"@@LalaViola-i4f kan menurut ku, 1.angga yunanda, 2. Jerome Polin 3.iqbal ramadhan,",0
2024-10-29T03:36:39Z,@raishaAqila-e8x,Aku suka matematika tpi baru kelas 3 sd,0
2024-10-29T03:29:20Z,@ditadelv9537,"kaget sama thumbnail-nya, tulisannya ANGGA YUNANDA tapi kok fotonya BISMA SMASH hahaha, mirip gitu haha sorry",1
2024-10-29T03:28:30Z,@mustikaumipertiwi3384,"Remake film Korea y, D. O jo jung suk park shin hye. Tu film nya sdih bgt.dia mah pinter,soalnya prnah diundang youtube sapa,masa skola nya berprestasi",1
2024-10-29T03:15:44Z,@SUKMAWAN,Undang gua bro😂,0
2024-10-29T02:50:37Z,@AlinkaWijaya,Abdur arsad S2 matematika.. Siapa yg Setuju....,0
2024-10-29T02:37:27Z,@dianajen501,Aku udah nonton dari awal sampai akhir tetep aja kagak ngarti jerr T_T,0
2024-10-29T02:29:06Z,@yunnipurwanti5985,duo ganteng yg bersatu :D gass main film bareng yakk hahhaha,1
2024-10-29T02:23:02Z,@chiizcake,harus trending iniiiii!!!,1
2024-10-29T02:15:38Z,@nurfebymuzaniah2983,Pusing😁😁,0
2024-10-29T02:12:35Z,@rafinurromadhon6905,angga definisi abang abangan gw,0
2024-10-29T01:50:34Z,@citra1799,Angga tuh kidal??,0
2024-10-29T01:29:42Z,@fadjaragri,Kapan collabs sama bernadya bang jer?,0
2024-10-29T01:17:33Z,@Noname-gx4id,Sukaa🎉,0
2024-10-29T01:00:10Z,@rindatripambayun934,Sumpah jd paham soal soal gini lagii,1
2024-10-29T00:58:17Z,@mamamitha1356,Sebagai emak2 40th ngerjain ini sampe level 5 ga pake ditulis n bener..brarti lumayanlah y aku..hasil sering ngitungin diskonan 😂,0
2024-10-29T00:53:25Z,@gardenyang2303,"<a href=""https://www.youtube.com/watch?v=c6ULhl5UU0k&amp;t=657"">10:57</a> waaaw bener angga jwb 90rb wkwkkwkw cuma kynya jerome blg salah krn ngira 90rb itu diskon nya 😂 keren anggaaaa",1
2024-10-29T00:42:07Z,@endahwulan93,Jer undang Jefri Nichol dooong😂,0
2024-10-29T00:42:06Z,@Ahmadfaqot-1002,Keseruan mtk saat memecahkan masalah dengan berbagai solusi dan rumus yg ada..... 😊😊😊😊😊😊😊,0
2024-10-29T00:35:25Z,@Januari-uk3ik,&quot; GAMPANG ... Aku juga bisa,0
2024-10-29T00:28:00Z,@Agar420,"Lah gw temen sd nya angga, dia mah emg pinter mat dulu sering ikut tryout2 gitu biasa termasuk yg peringkat tinggi😂",0
2024-10-29T00:17:56Z,@citraikaputri4277,Semenjak punya anak sd yg suka mtk aku jadi suka lihat yutub bang jero.. padahal pas sekolah anti mtk banget T_T,1
2024-10-29T00:08:47Z,@YukiCayank,Jago banget matematika nya😅😅,0
2024-10-29T00:04:06Z,@Agar420,Itu beneran angga?😂,0
2024-10-28T23:51:34Z,@MarioBersaudara,Angga plis gak usah pakai kumis kayak orang tua 😅,0
2024-10-28T23:44:29Z,@aidaadelianadewi7182,Anggaa❤,1
2024-10-28T23:28:00Z,@nyingkah,GAK TAU KENAPA GUE NUNGGUIN FADIL HADIR DI SEGMEN INI... PASTI SERU ... 😂😂😂😂,0
2024-10-28T22:51:02Z,@naminasae0048,Jir gue kira raditya dika,0
2024-10-28T22:33:56Z,@ianasfan,Masih nunggu ngajarin Cathezz... <br>Mumet dah jerome... 😅,1
2024-10-28T22:18:07Z,@pillowtalkpodcasts5990,"sandy , axel , kadit bang jer 🎉🎉🎉 undang buat collab",1
2024-10-28T18:47:57Z,@fakhrulhidayat137,Saran setup nya di bikin kaya suasana kelas mungkin lebih bagus,0
2024-10-28T18:40:43Z,@aldadynasugihrahayu2591,"ini agak agaknya lebih gampang dibanding yg kemaren bang bintang emon😂 ditambah angganya keliatan lebih pinter drpd bang bintang, harusnya kebalik nih soalnya, angga dikasih soal yg ky bang bintang kemaren mungkin lebih mikir kayanya😂",1
2024-10-28T18:33:34Z,@sanggargaleri5916,Matematika itu asyikk 🎉,0
2024-10-28T18:30:06Z,@tirsyaypattiasina8053,Angga❤❤❤❤❤,3
2024-10-28T18:24:21Z,@RyliasveilCh,"MTK itu subject favorite gw di zama sekolah dulu sih, ampe skrg masih suka.",4
2024-10-28T18:19:15Z,@agiskamila,Angga ini mukanya berubah2 tergantung rambut 😭 Tapi keren itu bisa jadi nilai plus dia dalam dunia acting bs sesuai sm peran yg dia mainkan..,27
2024-10-28T18:01:07Z,@widyartiapriliani2070,Cocok bnget buat aku  yg kerjanya retail😅,0
2024-10-28T17:31:49Z,@yulianurfauziah6723,"ibu bapaknya Angga kepala sekolah di lombok setau akuu, jd pasti pendidikan jg di nomer satukan",35
2024-10-28T17:12:17Z,@yika2583,sesi kek gini suka bangeettt arrrgghhhh,1
2024-10-28T17:05:13Z,@Marcellaamarcella-e5g,Saya Suka orang pintar matematika giliran aku aduh lemah banget dalam matematika,0
2024-10-28T16:50:38Z,@RaodatulJannah-cs3nt,Bang durasinya bisa lebih lama lagi ga? Minimal sampe upin ipin kuliah:&#39;)),4
2024-10-29T10:33:52Z,@LalaViola-i4f,Woy gilaklu 😂😂 ampe berapa tahun tuh kwkwwkwkwkwwkwkwk,0
2024-10-30T14:00:54Z,@RaodatulJannah-cs3nt,@@LalaViola-i4f wkwkwk seganteng itu durasinya bentar bgt cok😭,0
2024-10-28T16:45:25Z,@dizatiffany,"wah, setelah sekian lama tdk mikir mtk. flashback jaman skolah. thank you jer, berguna bgt buat ngitung promo di supermarket 😁",9
2024-10-28T16:43:32Z,@hendriefendi2441,Model rambutnya gitu amat ya 😂,0
2024-10-28T16:32:18Z,@horidatulmunawaroh6581,Sama Sandy coc donk,0
2024-10-28T16:31:15Z,@trianismagnae8602,"Di podcast angga pernal bilang mama papa nya kepala sekolah dan dia ngerasa kurang bagus di akademik, tp disini angga terlihat banget pinternya..",2
2024-10-30T03:00:46Z,@ellissitinh2351,"angga emang pinter ka dulu waktu sekolah slalu peringkat 1, juara umum jga, selalu mewakili sekolah, dia juga jago lukis, jago kaligrafi dan slalu juara",0
2024-10-30T03:01:02Z,@ellissitinh2351,"angga emang pinter ka dulu waktu sekolah slalu peringkat 1, juara umum jga, selalu mewakili sekolah, dia juga jago lukis, jago kaligrafi dan slalu juara",0
2024-10-31T09:04:34Z,@NimahAziza,Satu sekolah kah? ​@@ellissitinh2351,0
2024-10-28T16:13:47Z,@maylanidwi6882,Nyimak biar pinter matematika,1
2024-10-28T16:04:19Z,@wiedaamelia9274,Jerome angga dr dlu emg pintar ortu kepsek cuyy...,0
2024-10-28T16:00:34Z,@AnisaNf-ce3gk,Tetep ganteng tauk malahan jdi manis ganteng❤,0
2024-10-28T15:55:30Z,@amellyawiharja2876,Angga Filmnya bikin aku nangis 😭😭,0
2024-10-28T15:54:50Z,@chubbychewy6092,eh angga tuh kidal ya? apa kameranya mirror?,0
2024-10-28T15:56:47Z,@chubbychewy6092,"mirror ternyata, tangan kiri yang pake jam tangan wkwk",0
2024-10-28T15:40:02Z,@fitriahhpipit983,angga gw gemes sm rambut lu😭,12
2024-10-28T15:39:58Z,@HaniHani-gv6ol,Nunggu bareng echa kapan upload jerom,1
2024-10-28T15:28:28Z,@Mifda.As-saodah_Tv,Di arafah ketemu angga. Di jerome juga sama,3
